Country or subnational area,Estimate of civilian firearms per 100 persons,Region,Subregion,Population 2017,Estimate of firearms in civilian possession,Computation method,Registered firearms,Unregistered firearms,Crime Index,Safety Index
El Salvador,12,Americas,Central America,6167000,737000,2,"344,587","392,413",68.65,31.35
England & Wales,4.6,Europe,Western Europe,58877000,2731000,1,"1,870,735","860,265",,
Equatorial Guinea,12.5,Africa,Central Africa,894000,112000,2,N/A,N/A,,
Eritrea,0.4,Africa,East Africa,5482000,23000,2,N/A,N/A,,
Estonia,5,Europe,Northern Europe,1306000,65000,1,"47,000","18,000",23.82,76.18
Eswatini,4.8,Africa,Southern Africa,1320000,64000,3,"10,000","54,000",,
Ethiopia,0.4,Africa,East Africa,104345000,377000,2,N/A,N/A,50.09,49.91
Falkland Islands,62.1,Americas,South America,3000,2000,2,"1,705",295,,
Faroe Islands,9.9,Europe,Northern Europe,49000,5000,3,N/A,N/A,,
Fiji,0.5,Oceania,Melanesia,903000,5000,2,"1,538","3,462",55.63,44.37
Finland,32.4,Europe,Northern Europe,5541000,1793000,1,"1,542,396","250,604",27.25,72.75
France,19.6,Europe,Western Europe,64939000,12732000,1,"4,501,235","8,230,765",52.41,47.59
French Guiana,19.6,Americas,South America,283000,55000,3,N/A,N/A,,
French Polynesia,2.5,Oceania,Polynesia,289000,7000,2,N/A,N/A,,
Gabon,3.4,Africa,Central Africa,1801000,61000,2,N/A,N/A,,
Gambia,6.5,Africa,West Africa,2120000,137000,2,N/A,N/A,,
Georgia,10.1,Asia,Western Asia,3973000,402000,2,"159,000","243,000",24.3,75.7
Germany,19.6,Europe,Western Europe,80636000,15822000,1,"5,830,000","9,992,000",36.37,63.63
Ghana,8,Africa,West Africa,28657000,2280000,2,"1,236,128","1,043,872",46.81,53.19
Gibraltar,4.1,Europe,Southern Europe,32000,1000,1,N/A,N/A,,
